combination,generation,Cmax,percentage
hard_simple_tournament,87,1188,-0.04302019315188762
hard_simple_tournament,88,1188,-0.04302019315188762
hard_simple_tournament,89,1188,-0.04302019315188762
hard_simple_tournament,90,1188,-0.04302019315188762
hard_simple_tournament,91,1188,-0.04302019315188762
hard_simple_tournament,92,1188,-0.04302019315188762
hard_simple_tournament,93,1188,-0.04302019315188762
hard_simple_tournament,94,1188,-0.04302019315188762
hard_simple_tournament,95,1188,-0.04302019315188762
hard_simple_tournament,96,1188,-0.04302019315188762
hard_simple_tournament,97,1188,-0.04302019315188762
hard_simple_tournament,98,1188,-0.04302019315188762
hard_simple_tournament,99,1188,-0.04302019315188762
hard_section_roulette,0,1202,-0.0553116769095698
hard_section_roulette,1,1202,-0.0553116769095698
hard_section_roulette,2,1196,-0.05004389815627744
hard_section_roulette,3,1196,-0.05004389815627744
hard_section_roulette,4,1196,-0.05004389815627744
hard_section_roulette,5,1196,-0.05004389815627744
hard_section_roulette,6,1196,-0.05004389815627744
hard_section_roulette,7,1196,-0.05004389815627744
hard_section_roulette,8,1196,-0.05004389815627744
hard_section_roulette,9,1196,-0.05004389815627744
hard_section_roulette,10,1196,-0.05004389815627744
hard_section_roulette,11,1196,-0.05004389815627744
hard_section_roulette,12,1196,-0.05004389815627744
hard_section_roulette,13,1196,-0.05004389815627744
hard_section_roulette,14,1175,-0.03160667251975417
hard_section_roulette,15,1175,-0.03160667251975417
hard_section_roulette,16,1175,-0.03160667251975417
hard_section_roulette,17,1175,-0.03160667251975417
hard_section_roulette,18,1175,-0.03160667251975417
hard_section_roulette,19,1175,-0.03160667251975417
hard_section_roulette,20,1175,-0.03160667251975417
hard_section_roulette,21,1175,-0.03160667251975417
hard_section_roulette,22,1175,-0.03160667251975417
hard_section_roulette,23,1175,-0.03160667251975417
hard_section_roulette,24,1175,-0.03160667251975417
hard_section_roulette,25,1175,-0.03160667251975417
hard_section_roulette,26,1175,-0.03160667251975417
hard_section_roulette,27,1175,-0.03160667251975417
hard_section_roulette,28,1175,-0.03160667251975417
hard_section_roulette,29,1175,-0.03160667251975417
hard_section_roulette,30,1175,-0.03160667251975417
hard_section_roulette,31,1175,-0.03160667251975417
hard_section_roulette,32,1175,-0.03160667251975417
hard_section_roulette,33,1175,-0.03160667251975417
hard_section_roulette,34,1175,-0.03160667251975417
hard_section_roulette,35,1175,-0.03160667251975417
