Population Size,Mutation Rate,Generations,Cmax,percentage
100,0.2,500,176,-0.029239766081871343
100,0.2,1000,176,-0.029239766081871343
100,0.2,1500,176,-0.029239766081871343
100,0.2,2000,176,-0.029239766081871343
100,0.3,500,176,-0.029239766081871343
100,0.3,1000,176,-0.029239766081871343
100,0.3,1500,175,-0.023391812865497075
100,0.3,2000,175,-0.023391812865497075
100,0.4,500,176,-0.029239766081871343
100,0.4,1000,175,-0.023391812865497075
100,0.4,1500,175,-0.023391812865497075
100,0.4,2000,175,-0.023391812865497075
100,0.5,500,176,-0.029239766081871343
100,0.5,1000,171,0.0
100,0.5,1500,171,0.0
100,0.5,2000,174,-0.017543859649122806
200,0.1,500,176,-0.029239766081871343
200,0.1,1000,171,0.0
200,0.1,1500,176,-0.029239766081871343
200,0.1,2000,174,-0.017543859649122806
200,0.2,500,176,-0.029239766081871343
200,0.2,1000,176,-0.029239766081871343
200,0.2,1500,175,-0.023391812865497075
200,0.2,2000,176,-0.029239766081871343
200,0.3,500,176,-0.029239766081871343
200,0.3,1000,175,-0.023391812865497075
200,0.3,1500,175,-0.023391812865497075
200,0.3,2000,175,-0.023391812865497075
200,0.4,500,175,-0.023391812865497075
200,0.4,1000,175,-0.023391812865497075
200,0.4,1500,174,-0.017543859649122806
200,0.4,2000,175,-0.023391812865497075
200,0.5,500,175,-0.023391812865497075
200,0.5,1000,175,-0.023391812865497075
200,0.5,1500,174,-0.017543859649122806
200,0.5,2000,171,0.0
300,0.1,500,176,-0.029239766081871343
300,0.1,1000,176,-0.029239766081871343
300,0.1,1500,175,-0.023391812865497075
300,0.1,2000,175,-0.023391812865497075
300,0.2,500,175,-0.023391812865497075
300,0.2,1000,176,-0.029239766081871343
300,0.2,1500,176,-0.029239766081871343
300,0.2,2000,175,-0.023391812865497075
300,0.3,500,176,-0.029239766081871343
300,0.3,1000,176,-0.029239766081871343
300,0.3,1500,175,-0.023391812865497075
300,0.3,2000,175,-0.023391812865497075
300,0.4,500,175,-0.023391812865497075
300,0.4,1000,174,-0.017543859649122806
300,0.4,1500,175,-0.023391812865497075
300,0.4,2000,174,-0.017543859649122806
300,0.5,500,175,-0.023391812865497075
300,0.5,1000,175,-0.023391812865497075
300,0.5,1500,175,-0.023391812865497075
300,0.5,2000,174,-0.017543859649122806
50,0.1,500,149,0.026143790849673203
50,0.1,1000,153,0.0
50,0.1,1500,153,0.0
50,0.1,2000,151,0.013071895424836602
50,0.2,500,153,0.0
50,0.2,1000,153,0.0
50,0.2,1500,153,0.0
50,0.2,2000,153,0.0
50,0.3,500,153,0.0
50,0.3,1000,153,0.0
50,0.3,1500,150,0.0196078431372549
50,0.3,2000,153,0.0
50,0.4,500,153,0.0
50,0.4,1000,153,0.0
50,0.4,1500,151,0.013071895424836602
50,0.4,2000,149,0.026143790849673203
50,0.5,500,153,0.0
50,0.5,1000,149,0.026143790849673203
50,0.5,1500,151,0.013071895424836602
50,0.5,2000,150,0.0196078431372549
100,0.1,500,152,0.006535947712418301
100,0.1,1000,153,0.0
100,0.1,1500,153,0.0
100,0.1,2000,153,0.0
100,0.2,500,153,0.0
100,0.2,1000,153,0.0
100,0.2,1500,153,0.0
100,0.2,2000,153,0.0
100,0.3,500,153,0.0
100,0.3,1000,153,0.0
100,0.3,1500,151,0.013071895424836602
100,0.3,2000,151,0.013071895424836602
100,0.4,500,149,0.026143790849673203
100,0.4,1000,148,0.032679738562091505
100,0.4,1500,148,0.032679738562091505
100,0.4,2000,146,0.0457516339869281
100,0.5,500,150,0.0196078431372549
100,0.5,1000,151,0.013071895424836602
100,0.5,1500,150,0.0196078431372549
100,0.5,2000,150,0.0196078431372549
200,0.1,500,153,0.0
200,0.1,1000,153,0.0
200,0.1,1500,153,0.0
200,0.1,2000,153,0.0
200,0.2,500,151,0.013071895424836602
200,0.2,1000,153,0.0
200,0.2,1500,153,0.0
200,0.2,2000,153,0.0
200,0.3,500,153,0.0
200,0.3,1000,153,0.0
200,0.3,1500,153,0.0
200,0.3,2000,152,0.006535947712418301
200,0.4,500,152,0.006535947712418301
200,0.4,1000,152,0.006535947712418301
200,0.4,1500,151,0.013071895424836602
200,0.4,2000,150,0.0196078431372549
200,0.5,500,148,0.032679738562091505
200,0.5,1000,146,0.0457516339869281
